uid;givenName;familyName;email;department
u1001;Abigail;Peterson;abigail.peterson39@example.com;Management / Professional Services
u1002;Anita;Oliver;anita.oliver32@example.com;Management / Research & Development / R&D USA
u1003;Audrey;Peterson;audrey.peterson25@example.com;Management / Professional Services
u1004;Beth;Evans;beth.evans77@example.com;Management / Research & Development
u1005;Doris;Cole;doris.cole31@example.com;Management / Professional Services
u1006;Eli;Lambert;eli.lambert22@example.com;Management / Sales
u1007;Ernest;Reed;ernest.reed47@example.com;Management / Professional Services
u1008;Jean;Dark;jeandark@example.com;Management
u1009;Jeffrey;Kelly;jeffrey.kelly72@example.com;Management / Sales
u1010;Jennie;Fletcher;jennie.fletcher76@example.com;Management / Research & Development
u1011;Keith;Byrd;keith.byrd52@example.com;Management / Research & Development
u1012;Marc;Demo;mark.brown23@example.com;Management / Research & Development
u1013;Mitchell;Admin;admin@yourcompany.example.com;Management
u1014;Paul;Williams;paul.williams59@example.com;Management / Research & Development / R&D USA / Long Term Projects
u1015;Rachel;Perry;jod@odoo.com;Management / Sales
u1016;Randall;Lewis;randall.lewis74@example.com;Management / Research & Development
u1017;Ronnie;Hart;ronnie.hart87@example.com;Management / Research & Development
u1018;Sharlene;Rhodes;sharlene.rhodes49@example.com;Management
u1019;Tina;Williamson;tina.williamson98@example.com;Management / Administration
u1020;Toni;Jimenez;toni.jimenez23@example.com;Management / Professional Services
u1021;Walter;Horton;walter.horton80@example.com;Management / Research & Development
